Location,advertisingBan_2007,advertisingBan_2008,advertisingBan_2010,advertisingBan_2012,advertisingBan_2014,advertisingBan_2016,advertisingBan_2018,advertisingBan_2020,advertisingBan_2022,affordability_2012,affordability_2014,affordability_2016,affordability_2018,affordability_2020,affordability_2022,gdp2000Cigs_2012,gdp2000Cigs_2014,gdp2000Cigs_2016,gdp2000Cigs_2018,gdp2000Cigs_2020,gdp2000Cigs_2022,healthWarningPhoto_2007,healthWarningPhoto_2008,healthWarningPhoto_2010,healthWarningPhoto_2012,healthWarningPhoto_2014,healthWarningPhoto_2016,healthWarningPhoto_2018,healthWarningPhoto_2020,healthWarningPhoto_2022,requiredHealthWarnings_2007,requiredHealthWarnings_2008,requiredHealthWarnings_2010,requiredHealthWarnings_2012,requiredHealthWarnings_2014,requiredHealthWarnings_2016,requiredHealthWarnings_2018,requiredHealthWarnings_2020,requiredHealthWarnings_2022,Cluster
Afghanistan,No,No,No,No,No,Yes,Yes,Yes,Yes,3.75,4.67,7.16,7.14,6.39,6.469908508691674,3.75,4.67,7.16,7.14,6.39,6.469908508691674,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,4
Albania,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.7,4.14,4.49,4.23,4.38,3.76,3.7,4.14,4.49,4.23,4.38,3.76,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
Algeria,No,No,No,No,No,No,Yes,Yes,Yes,1.97,3.41,4.9,6.25,7.16,5.8,1.97,3.41,4.9,6.25,7.16,5.8,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
Andorra,No,No,No,No,No,No,No,No,No,0.87,1.0,0.98,1.01,1.12,0.95,0.87,1.0,0.98,1.01,1.12,0.95,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,No,No,No,No,No,No,No,4
Angola,No,No,No,No,No,No,No,No,No,3.0,3.62,6.469908508691674,5.14,8.31,5.88,3.0,3.62,6.469908508691674,5.14,8.31,5.88,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,No,No,No,No,No,No,No,4
Antigua and Barbuda,No,No,No,No,No,No,Yes,Yes,Yes,1.74,2.12,1.9,1.75,3.73,2.3,1.74,2.12,1.9,1.75,3.73,2.3,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,4
Argentina,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1.27,1.35,2.12,1.81,2.33,1.7,1.27,1.35,2.12,1.81,2.33,1.7,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
Armenia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.18,3.71,3.54,3.36,3.35,2.95,4.18,3.71,3.54,3.36,3.35,2.95,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
Australia,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,2.06,2.5,3.01,2.76,3.82,3.54,2.06,2.5,3.01,2.76,3.82,3.54,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
Austria,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.19,1.26,1.22,1.27,1.34,1.22,1.19,1.26,1.22,1.27,1.34,1.22,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
Azerbaijan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.86,2.25,4.5,1.48,2.5,1.89,1.86,2.25,4.5,1.48,2.5,1.89,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
Bahamas,No,No,No,No,No,No,No,No,No,1.64,2.26,2.79,6.469908508691674,3.97,3.66,1.64,2.26,2.79,6.469908508691674,3.97,3.66,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
Bahrain,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.05,1.05,1.76,2.12,2.59,2.22,1.05,1.05,1.76,2.12,2.59,2.22,Not applicable,Not applicable,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
Bangladesh,No,No,No,No,Yes,Yes,Yes,Yes,Yes,3.34,2.88,3.81,4.89,4.93,4.24,3.34,2.88,3.81,4.89,4.93,4.24,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
Barbados,No,No,No,No,No,No,No,No,No,3.45,4.18,4.43,4.12,6.469908508691674,4.2,3.45,4.18,4.43,4.12,6.469908508691674,4.2,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,4
